Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.0730160378708768,0.023204185564026928,0.013013193772916641,0.11923840104975988,0.02544529552838253,0.01238084971605278
1,0.07051603786989814,0.020962262668747265,0.011483465594046663,0.10863007894742302,0.023133901838148306,0.011205903621279772
2,0.06551604198850326,0.021314850960948782,0.01167306374504819,0.10232852870061268,0.022678930295966623,0.010976360335453506
3,0.07426608508283912,0.02336492254543328,0.012745532409542489,0.13509781034934149,0.025421810673154032,0.01242412151646188
4,0.06801607846866038,0.02210636384482498,0.012289058712992091,0.11202800791479048,0.024423830414578743,0.011891729307309045
5,0.07426604626088047,0.021565492835851352,0.012113536119974823,0.1548611893539199,0.025266942297842286,0.01229930168666764
6,0.06426603786929322,0.02114179020651073,0.011633284602262137,0.09168566029233727,0.021380089884032987,0.010026815616594771
7,0.07801607600752755,0.022178023123036822,0.012202260804900875,0.14263249944687262,0.025927634622694373,0.012655995832321042
8,0.06926604627072595,0.02312885636862601,0.01277246321574582,0.12908373237931547,0.026089115575674643,0.012755335696327088
9,0.06801603787035292,0.02002180550861128,0.011306707639017984,0.09500324172417685,0.02125010911455553,0.010095592643742823
