Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09878954074285867,0.027372056666251733,0.01534500436985062,0.16452631487565417,0.029527467200618607,0.014844126610644036
1,0.09878954074291955,0.025812390824761576,0.014151132317347217,0.1749345152225941,0.031504992300947,0.015783851243272362
2,0.10478954074450139,0.027761775982872505,0.015469191177643556,0.19127959406846384,0.034640874701955246,0.01720676817562407
3,0.10278954074296183,0.02531395734912048,0.013930790726126453,0.20987444497649285,0.0358476804270083,0.017485343749305104
4,0.10278954074284083,0.026071872589869184,0.014414261480487462,0.14643299698367163,0.02809259320017888,0.01401926832620199
5,0.11278954074420643,0.02986583245309225,0.016685699588607824,0.2860900175775178,0.03773081413339936,0.019309238780516217
6,0.10078954075609577,0.02527280677940713,0.013988139624040268,0.1671344131869416,0.0302803763429216,0.01512906740729996
7,0.10878954074299477,0.02630878431061649,0.014573587884457858,0.21376436462849469,0.036705017521870775,0.018184738292749445
8,0.09278954074293573,0.025126189069927595,0.014032779768242529,0.17359241716751694,0.031212809325752523,0.01564115949596174
9,0.09278954074293573,0.02368518006208492,0.012984306632044694,0.1248656788013863,0.02463871461209856,0.012290318098623538
