Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09853207574505918,0.018319519217870575,0.010146412825677027,0.2715458769948671,0.018467556706988485,0.010035931174962091
1,0.09978207574005407,0.017947363998697726,0.00983646640559292,0.26353065106492246,0.0171297629048513,0.00974854641501129
2,0.10603207573882942,0.018210941186776092,0.010404283491987333,0.271230750222074,0.017215124724987117,0.009753950728945558
3,0.10228207573941178,0.017608272292639254,0.009959466491005,0.27136591129861254,0.01724819380063669,0.009617987961518429
4,0.1022820757395677,0.0177291771711592,0.009962214654662948,0.26160600241412024,0.016915415752552686,0.009805432617271523
5,0.09978207573999538,0.018151052182611375,0.009941590891155067,0.27043118602119526,0.016927555086345306,0.009172974932777713
6,0.09853207574558584,0.018638499498175885,0.010254049294224734,0.26699988110633305,0.017947043078903477,0.010147096436024641
7,0.09853207573958644,0.018149476061911772,0.010262264152185294,0.2708783443594323,0.01792844730856402,0.009701702016527303
8,0.09978207575981177,0.018802515742711717,0.010819714251457764,0.27161906722865636,0.017488768722975504,0.010081099443199237
9,0.1035320757668577,0.018621120893705382,0.009866632492686269,0.2508984141157802,0.017791865140872207,0.00983393381772879
