Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12273601755351332,0.018813963386271212,0.00993062917798125,0.32063955002658406,0.027562235309325063,0.013605811800152044
1,0.12747203510899457,0.021416684918340412,0.011653399471257847,0.36713463925218603,0.027565987245271602,0.014114955702059728
2,0.12347203512957372,0.02217022237205947,0.011817982927172104,0.30737936304246316,0.028067614330384346,0.01442149206552381
3,0.12273601755351332,0.019174823261369683,0.01016228621443358,0.2692189242697968,0.02719348555372822,0.01322606186481172
4,0.12273601755350694,0.019259156926872675,0.010220623755048995,0.3582771918245352,0.02713896531156948,0.01353743888393893
5,0.11073601770103982,0.02036841134092774,0.010848334257183987,0.33213735844819914,0.02782853010694254,0.013569594768180277
6,0.12947203510896088,0.02279119077449432,0.01263963531566339,0.37621283930308896,0.027439858457319617,0.014544076755391535
7,0.1294720351082132,0.022064267081980303,0.011778720744895527,0.3169883041790786,0.028191214271420198,0.014619472775607888
8,0.12273601755350795,0.020792153156949808,0.011059623971749602,0.33138828092142036,0.02766891618683387,0.013833166740750628
9,0.12347203510878672,0.02154641203081801,0.011573612666831221,0.4475733907303532,0.027325012177666495,0.014048901686589475
