Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10878954074282908,0.02362200088554361,0.012985034261988894,0.21199526508716887,0.03491595070481904,0.016590898455716444
1,0.11878954074280658,0.026664656685671126,0.01461014916805583,0.24135768304582425,0.036728348144033876,0.018341185558823518
2,0.1127895407428093,0.027389522879482528,0.014966940098954712,0.19496786374294206,0.034497047429793745,0.017026786835263236
3,0.10078954074300535,0.023627593321823927,0.01302417960262362,0.1709211067312747,0.029572765802689183,0.014748886757257397
4,0.10678954075230265,0.024086315691459286,0.013092399649424179,0.2396332543010376,0.03586000334983434,0.01781943594716504
5,0.09878954074647003,0.02434033210709545,0.013640688140115874,0.21933019396670583,0.03557462106230945,0.017554431816936757
6,0.11678954074280534,0.027785350544462708,0.015321551553074443,0.24183384120877208,0.03801434554774706,0.01919070784943174
7,0.12278954074280943,0.02636658615524669,0.014463228603755852,0.2018254413618454,0.035536332117517916,0.01748441598646644
8,0.10678954074307306,0.024294045345873008,0.013339445327703474,0.2162224248268957,0.03584670612417661,0.017759834877720548
9,0.10678954074383668,0.02788806201910814,0.015245651352565854,0.3549068812871696,0.0367189492500516,0.01913853692418543
