Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,10.386589258876485,8.58790409124989,8.247321886782412
1,10.301457954361481,8.368958462075799,7.973914591534868
2,10.557967201649769,8.643599907912503,8.268252691549701
3,11.554801758646958,9.18542342031931,8.713939670215286
4,10.317051651794548,8.494513197551163,8.142526763258356
5,11.965297210304247,8.966937211469958,8.408233724996911
6,9.964689224032808,8.151787301883541,7.658280472091443
7,11.806903554417092,9.321759765223124,8.826707451980923
8,10.924141476155462,8.89906266315635,8.502719814653187
9,10.307941530863799,8.303830295957123,7.899973545213291
