Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,13.180374671785533,10.6952653679626,10.34360952235629
1,12.978474517346635,10.487839889007423,10.135855871514469
2,12.694780404871917,10.333310590221574,9.997390255653478
3,13.958731774128895,11.20714490686068,10.812169727036295
4,12.977670693832874,10.550119920311376,10.199311286064637
5,15.06098503796599,11.894940426753113,11.382115081354186
6,12.277799350282395,10.026723200641626,9.716267766748672
7,14.213800268985008,11.402651526350166,10.987188579647505
8,13.571075220833112,10.980035120674053,10.599709500650704
9,12.509459701428307,10.140435882591452,9.810906042432249
