Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,17.901776721422657,9.107259301952672,8.321809861464548
1,10.531889969759355,7.8021997110672405,7.236288315972535
2,14.389372748067748,9.67797674770782,8.826726136486766
3,14.189943412823386,8.891687743572568,8.1092892354275
4,9.648179724212447,7.3344065400774685,6.8763900053340254
5,22.354039695280008,11.47643575909585,10.458421660145973
6,10.80432284372156,7.999735207847152,7.420096428160658
7,21.437698165647838,11.088078748516185,10.114655084418397
8,12.414223583655666,8.95733688275018,8.244070958655055
9,11.273917406607595,7.635820914119238,6.965073009067364
