Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,45.57790049980383,26.605039052095094,24.835370307211868
1,58.56248576701465,33.29248776227923,30.888886731739554
2,33.69199747495087,23.979874410425246,22.42579989344521
3,40.912330557999965,23.999132330270704,22.42980653662611
4,50.4964747714041,28.98104105841135,26.93194614030798
5,43.94550099663519,25.720394613733344,23.996961006044838
6,46.2489907385916,26.99791348810303,25.173966660849622
7,42.91695180093925,25.6953876512329,23.96534923515123
8,45.013961021605176,26.174358936022266,24.41891339531888
9,58.69193375905535,33.32634550899961,30.922063141715334
