Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,49.59172538761288,30.772998954912346,29.04337169882063
1,66.3631108437845,39.48964921234872,37.08284854414566
2,37.3433501327855,26.050997804957426,24.880301762983066
3,42.59052114353568,27.04916722671649,25.686986966273942
4,55.633358840263966,33.745297090390814,31.725460798272092
5,46.02714541899114,29.03839681242902,27.45585047884059
6,49.09591252886808,30.801740570593324,29.09713086441188
7,45.56455585029569,28.90039309992312,27.37928996671889
8,46.82435229495842,29.520808101952127,27.97711058121522
9,66.11195823160136,39.47348996540005,37.01957190816174
