Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12547203558522269,0.017883248891325094,0.009210979800489339,0.2762499444002775,0.018028488206982995,0.009386072838601473
1,0.11873601755358013,0.016267656452412863,0.008462311543837964,0.24871353996952597,0.017934784011436923,0.00875735055672401
2,0.11673601755350758,0.018145819433453284,0.009474963210074643,0.27046392423128257,0.01888555127630389,0.009659098075754168
3,0.13147203520015602,0.01752591775966375,0.009070123569088307,0.2863450104007077,0.0180303132941588,0.009390841733998151
4,0.13147204416983213,0.017357131900356874,0.00891726264562926,0.2675222176460251,0.01767477093129223,0.009012048501455157
5,0.11073601770303428,0.016085219672381208,0.008340144544092837,0.2697880046020808,0.017816338315560405,0.0089243907678647
6,0.11273601755357822,0.016244510116239688,0.00842927329462895,0.2372038083739193,0.018683570434348425,0.008924097019697843
7,0.12947203512808053,0.016981052682617254,0.008993783188623277,0.29811580161951556,0.017877917042007602,0.009457798446537845
8,0.13147203510833289,0.017909280050100868,0.009302957201557818,0.28288022477548885,0.01798053536503686,0.009416243921524747
9,0.10473607005082107,0.015967919701864036,0.008225281454886667,0.2430034409087308,0.017408511619504206,0.008393293766406646
