Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12009036929253074,0.014820182530545161,0.00820498184734728,0.30935196683836214,0.0139107571223855,0.008191905894839535
1,0.12009036929468336,0.014143761105290316,0.007698496981662946,0.28294864303684014,0.01368356905248886,0.007751443447566346
2,0.11759036929430505,0.015260482095099497,0.008192943579734786,0.2828666273149106,0.014488051438092238,0.00817414740438558
3,0.11884036929249302,0.014543195686546335,0.008164331255325855,0.3124029689047424,0.01365878696075246,0.0080210688238213
4,0.12009036929354737,0.015164001083971281,0.008239986161001588,0.29697751689016444,0.014414397015256047,0.00825610257001272
5,0.1225903692927637,0.01429145874088525,0.007828669725785668,0.3102375199196374,0.013588951740281416,0.007762844170252129
6,0.11884036929259341,0.014665787601822682,0.008059548152865708,0.27134095438433536,0.014388578597670981,0.008059006037895586
7,0.12009036929307693,0.015578630911108286,0.008412891619458808,0.3182713725757647,0.014362190658463055,0.00831645078818914
8,0.11884036929247116,0.015228935577462946,0.00838689167273359,0.3159032621617686,0.014476862430505163,0.008348358468950386
9,0.1213403692931078,0.01402700403907981,0.007500178105673871,0.26574811017547145,0.013773847574507347,0.007628376438529598
