Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.1555790814917051,0.020090884444805817,0.010809327647523471,0.3710989893578073,0.018320755358835716,0.010602651343781942
1,0.15157908148557986,0.018639830863108005,0.010011328555064054,0.37490877241000464,0.018620245845205385,0.010365761317959653
2,0.15157908148895313,0.019236698366170545,0.010616032807697167,0.3797334319080109,0.01817866149076753,0.010310870202046536
3,0.14757908148753837,0.01766119553218929,0.009751414193710263,0.3797356226733111,0.017819729004801367,0.009770894028675526
4,0.1495790814855925,0.018354075388437942,0.009868881900792237,0.3532555089338747,0.016865527462157557,0.009716597407050376
5,0.1555790814862759,0.018102357575072267,0.0105337054602503,0.3772734557014696,0.018463382775966382,0.009901673056962053
6,0.14757908148556953,0.0193260896258572,0.010376975108172006,0.3719459049231523,0.01902027154974656,0.010657899248257906
7,0.14957908148556093,0.0180872290763736,0.009993761583622748,0.3797355895785104,0.01846474206012079,0.0101531559197046
8,0.14757908168476777,0.01952047025171569,0.010313824281028429,0.3748131916455482,0.018314685403750176,0.010330891304375395
9,0.14878954074282608,0.018680233690963808,0.009688947598399632,0.3129670970575471,0.017443297022510094,0.009702105351646517
