Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06301603791516919,0.02597228879037556,0.014897098659440054,0.13886857070782158,0.03277803292997425,0.017124217665347875
1,0.06801603787055469,0.025387081300253033,0.014443354552684116,0.11226135401771078,0.026955334447899864,0.013920916036169526
2,0.07801603798216075,0.027628122674898857,0.016134967868504907,0.1490950692637731,0.03572956674230779,0.01857995173264524
3,0.06551606974886563,0.026317409834937824,0.015397525160281152,0.13340846068941115,0.031161251945361252,0.016164130010929957
4,0.06301603790129616,0.02626807586014166,0.01528298615194767,0.09267937971895418,0.026571900791166773,0.01374846313553145
5,0.07801603786932118,0.026298217407024555,0.015084329616986393,0.17511222038563484,0.04194190685628299,0.021317380911088514
6,0.06551604334374674,0.02554158191922699,0.014634779123665382,0.1186676310723318,0.027882294980253672,0.01440091695041079
7,0.07176603787069423,0.026727864040404826,0.01547023597865235,0.16985349589211157,0.04118539683992022,0.021231468103999195
8,0.0705160378703665,0.028521632710464737,0.01613065265029948,0.1375709949958432,0.03274001650425324,0.016992970968363746
9,0.0667660378699671,0.0226600059799374,0.013216331033304114,0.11642188665065331,0.02608879898588263,0.013465584183717232
