Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09673601755352447,0.02253358122251275,0.012331422169765393,0.19651474814164585,0.03215276734858332,0.015238447364977252
1,0.10673601755350677,0.025574191006487997,0.013958951226799243,0.22441617703080272,0.033699000758594014,0.017384029003352078
2,0.10073601757739264,0.026320271775524654,0.014331896978012848,0.17997728201570093,0.03292112007212789,0.016281315393603144
3,0.08873601755352313,0.022512686453932316,0.012348050836654273,0.1565507243398226,0.028474533066966557,0.014119863313615161
4,0.09473603529561439,0.02311723262742888,0.012514677669969651,0.22221474548513268,0.032846900201631266,0.016581607405053874
5,0.08673603029879952,0.022978531716550208,0.012865053573464829,0.20246964644523743,0.032971388197612764,0.01643839721720068
6,0.10473601755351142,0.026615206451002273,0.014623308782707097,0.2253505331349598,0.034754571857666734,0.01768288102937866
7,0.11073601755351,0.025279562198548627,0.013805280811411904,0.1870815776157555,0.03353973045281803,0.016595388113716712
8,0.09473601755352165,0.023074237241313744,0.012707874480506753,0.19917448521937595,0.03335255212458525,0.016643057643628945
9,0.09473601755780729,0.026827604515997087,0.014604943026283288,0.31927476737460586,0.03353524217875996,0.017552067387294666
