Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07879521126630361,0.025352644815138933,0.014319566518876167,0.16464051185730577,0.035958618532775766,0.018010881302954206
1,0.09254518470181707,0.02781659170938677,0.01554735092288687,0.22886070835412547,0.039535108676395106,0.020303296517729604
2,0.08004518464672214,0.026605316574040656,0.015235691775105073,0.1344815217463181,0.02975721001752536,0.015355479387286167
3,0.07879521126630361,0.024237715083753567,0.01346321169418147,0.13782876328536486,0.029889625955134058,0.015329799451573936
4,0.09129518464623597,0.025216647882222686,0.014266216351696405,0.1860487279304888,0.038161952957619476,0.019124792774686455
5,0.08129518464685848,0.023351167172461284,0.013437627500614028,0.15400224633499657,0.03366597971310618,0.017242928754533298
6,0.09129518465966051,0.027597056415400386,0.015439007750185498,0.16719718363965325,0.03712722671835409,0.018545620768268226
7,0.08379518464861131,0.02609103111542116,0.014629442603454628,0.15270273831284176,0.033818714389752966,0.017378325177011635
8,0.08504518464622272,0.025558613769494646,0.014382377482302575,0.1570956871756819,0.034919022987360174,0.017842045024467512
9,0.08629518464689559,0.02817664143609716,0.01568687851215663,0.22948648548629302,0.03958418388056722,0.020457894406981446
